"year","rec","ssb","species"
1986,288646,152339,"saithe"
1987,113892,154312,"saithe"
1988,116418,150007,"saithe"
1989,78480,117896,"saithe"
1990,118812,107623,"saithe"
1991,138530,107204,"saithe"
1992,93719,109023,"saithe"
1993,152795,113905,"saithe"
1994,103877,126367,"saithe"
1995,226143,140099,"saithe"
1996,112940,150095,"saithe"
1997,162978,201345,"saithe"
1998,71108,202185,"saithe"
1999,142599,212029,"saithe"
2000,95854,210912,"saithe"
2001,225383,226066,"saithe"
2002,192574,227408,"saithe"
2003,127879,256981,"saithe"
2004,100458,316991,"saithe"
2005,189512,321863,"saithe"
2006,63520,308854,"saithe"
2007,111034,301555,"saithe"
2008,66210,288251,"saithe"
2009,56407,252897,"saithe"
2010,122173,237132,"saithe"
2011,55060,200745,"saithe"
2012,118842,182951,"saithe"
2013,60184,189420,"saithe"
2014,27097,217654,"saithe"
1957,132202,62764,"sole"
1958,120132,65189,"sole"
1959,443953,68153,"sole"
1960,41337,69523,"sole"
1961,67315,103475,"sole"
1962,11128,86465,"sole"
1963,12594,69695,"sole"
1964,615442,51436,"sole"
1965,151562,41429,"sole"
1966,54487,110633,"sole"
1967,83368,105601,"sole"
1968,116260,90301,"sole"
1969,83165,68359,"sole"
1970,198396,62973,"sole"
1971,56236,55432,"sole"
1972,106243,64110,"sole"
1973,140931,46717,"sole"
1974,119070,44992,"sole"
1975,58149,45953,"sole"
1976,139912,45461,"sole"
1977,172918,37225,"sole"
1978,61363,43186,"sole"
1979,16882,52189,"sole"
1980,175266,38542,"sole"
1981,214724,26040,"sole"
1982,205530,37478,"sole"
1983,199377,49493,"sole"
1984,90799,51225,"sole"
1985,107125,46825,"sole"
1986,164434,37384,"sole"
1987,85455,34096,"sole"
1988,671031,42287,"sole"
1989,128096,38405,"sole"
1990,233559,121253,"sole"
1991,85172,87197,"sole"
1992,441748,87143,"sole"
1993,87959,58340,"sole"
1994,64864,85457,"sole"
1995,113156,64139,"sole"
1996,71297,37470,"sole"
1997,309603,31391,"sole"
1998,144935,23353,"sole"
1999,112579,48977,"sole"
2000,140476,41657,"sole"
2001,74001,33714,"sole"
2002,211829,33708,"sole"
2003,96924,26379,"sole"
2004,50766,38150,"sole"
2005,51021,31116,"sole"
2006,193256,24690,"sole"
2007,71319,17465,"sole"
2008,79249,33329,"sole"
2009,99058,29421,"sole"
2010,223384,29207,"sole"
2011,205064,29191,"sole"
2012,50595,39187,"sole"
2013,86491,45444,"sole"
2014,182074,40570,"sole"
1974,277672445,493675,"sprat"
1975,462120881,473609,"sprat"
1976,206205903,300856,"sprat"
1977,255410574,293821,"sprat"
1978,239833976,153745,"sprat"
1979,206574424,161617,"sprat"
1980,269769696,153510,"sprat"
1981,98744648,154754,"sprat"
1982,67206618,69179,"sprat"
1983,78052760,73648,"sprat"
1984,43967749,64943,"sprat"
1985,28772108,36475,"sprat"
1986,167353390,13955,"sprat"
1987,138380685,83078,"sprat"
1988,247341118,81594,"sprat"
1989,112009664,109308,"sprat"
1990,136816942,88114,"sprat"
1991,209840407,112610,"sprat"
1992,231656834,144104,"sprat"
1993,228421502,220851,"sprat"
1994,112257970,56683,"sprat"
1995,71099238,165482,"sprat"
1996,108093921,129996,"sprat"
1997,142097896,253825,"sprat"
1998,161009925,256582,"sprat"
1999,115649288,197045,"sprat"
2000,105839120,227366,"sprat"
2001,102773498,107056,"sprat"
2002,122100506,155833,"sprat"
2003,119246199,71115,"sprat"
2004,231829115,173429,"sprat"
2005,78553214,143612,"sprat"
2006,114414266,133207,"sprat"
2007,79439198,255703,"sprat"
2008,164387025,128603,"sprat"
2009,115020971,173037,"sprat"
2010,169134425,215236,"sprat"
2011,179800351,206881,"sprat"
2012,136756995,93658,"sprat"
2013,313421720,142489,"sprat"
2014,839738525,360294,"sprat"
